baricenter: (-0.006499999999999966, 0.006500000000000034, 0.0)
TIME 0.001490, pos: -6.593027e-03 6.039307e-03, Found 5643
baricenter: (-0.006499999999999966, 0.006500000000000034, 0.0)
TIME 0.001500, pos: -6.889691e-03 5.704783e-03, Found 5543
baricenter: (-0.006499999999999966, 0.005500000000000034, 0.0)
TIME 0.001510, pos: -7.169389e-03 5.355694e-03, Found 5542
baricenter: (-0.007499999999999965, 0.005500000000000034, 0.0)
TIME 0.001520, pos: -7.431405e-03 4.992899e-03, Found 5442
baricenter: (-0.007499999999999965, 0.004500000000000035, 0.0)
TIME 0.001530, pos: -7.675068e-03 4.617295e-03, Found 5442
baricenter: (-0.007499999999999965, 0.004500000000000035, 0.0)
TIME 0.001540, pos: -7.899753e-03 4.229809e-03, Found 5442
baricenter: (-0.007499999999999965, 0.004500000000000035, 0.0)
TIME 0.001550, pos: -8.104879e-03 3.831400e-03, Found 5341
baricenter: (-0.008499999999999966, 0.0035000000000000348, 0.0)
TIME 0.001560, pos: -8.289918e-03 3.423056e-03, Found 5341
baricenter: (-0.008499999999999966, 0.0035000000000000348, 0.0)
TIME 0.001570, pos: -8.454389e-03 3.005787e-03, Found 5341
baricenter: (-0.008499999999999966, 0.0035000000000000348, 0.0)
TIME 0.001580, pos: -8.597860e-03 2.580631e-03, Found 5241
baricenter: (-0.008499999999999966, 0.0025000000000000347, 0.0)
TIME 0.001590, pos: -8.719956e-03 2.148644e-03, Found 5241
baricenter: (-0.008499999999999966, 0.0025000000000000347, 0.0)
TIME 0.001600, pos: -8.820352e-03 1.710901e-03, Found 5141
baricenter: (-0.008499999999999966, 0.0015000000000000347, 0.0)
TIME 0.001610, pos: -8.898778e-03 1.268490e-03, Found 5141
baricenter: (-0.008499999999999966, 0.0015000000000000347, 0.0)
TIME 0.001620, pos: -8.955017e-03 8.225151e-04, Found 5041
baricenter: (-0.008499999999999966, 0.0005000000000000347, 0.0)
TIME 0.001630, pos: -8.988909e-03 3.740883e-04, Found 5041
baricenter: (-0.008499999999999966, 0.0005000000000000347, 0.0)
TIME 0.001640, pos: -9.000351e-03 -7.567085e-05, Found 4940
baricenter: (-0.009499999999999967, -0.0004999999999999653, 0.0)
TIME 0.001650, pos: -8.989293e-03 -5.256386e-04, Found 4941
baricenter: (-0.008499999999999966, -0.0004999999999999653, 0.0)
TIME 0.001660, pos: -8.955743e-03 -9.746896e-04, Found 4941
baricenter: (-0.008499999999999966, -0.0004999999999999653, 0.0)
TIME 0.001670, pos: -8.899766e-03 -1.421700e-03, Found 4841
baricenter: (-0.008499999999999966, -0.0014999999999999653, 0.0)
TIME 0.001680, pos: -8.821481e-03 -1.865549e-03, Found 4841
baricenter: (-0.008499999999999966, -0.0014999999999999653, 0.0)
TIME 0.001690, pos: -8.721064e-03 -2.305125e-03, Found 4741
baricenter: (-0.008499999999999966, -0.0024999999999999654, 0.0)
TIME 0.001700, pos: -8.598748e-03 -2.739323e-03, Found 4741
baricenter: (-0.008499999999999966, -0.0024999999999999654, 0.0)
TIME 0.001710, pos: -8.454819e-03 -3.167054e-03, Found 4641
baricenter: (-0.008499999999999966, -0.003499999999999965, 0.0)
TIME 0.001720, pos: -8.289618e-03 -3.587241e-03, Found 4641
baricenter: (-0.008499999999999966, -0.003499999999999965, 0.0)
TIME 0.001730, pos: -8.103539e-03 -3.998827e-03, Found 4641
baricenter: (-0.008499999999999966, -0.003499999999999965, 0.0)
TIME 0.001740, pos: -7.897029e-03 -4.400774e-03, Found 4542
baricenter: (-0.007499999999999965, -0.004499999999999966, 0.0)
TIME 0.001750, pos: -7.670587e-03 -4.792069e-03, Found 4542
baricenter: (-0.007499999999999965, -0.004499999999999966, 0.0)
TIME 0.001760, pos: -7.424762e-03 -5.171724e-03, Found 4442
baricenter: (-0.007499999999999965, -0.005499999999999966, 0.0)
TIME 0.001770, pos: -7.160152e-03 -5.538779e-03, Found 4442
baricenter: (-0.007499999999999965, -0.005499999999999966, 0.0)
TIME 0.001780, pos: -6.877401e-03 -5.892304e-03, Found 4443
baricenter: (-0.006499999999999966, -0.005499999999999966, 0.0)
TIME 0.001790, pos: -6.577202e-03 -6.231404e-03, Found 4343
baricenter: (-0.006499999999999966, -0.006499999999999966, 0.0)
TIME 0.001800, pos: -6.260290e-03 -6.555217e-03, Found 4343
baricenter: (-0.006499999999999966, -0.006499999999999966, 0.0)
TIME 0.001810, pos: -5.927443e-03 -6.862920e-03, Found 4344
baricenter: (-0.005499999999999965, -0.006499999999999966, 0.0)
TIME 0.001820, pos: -5.579479e-03 -7.153729e-03, Found 4244
baricenter: (-0.005499999999999965, -0.007499999999999965, 0.0)
TIME 0.001830, pos: -5.217256e-03 -7.426902e-03, Found 4244
baricenter: (-0.005499999999999965, -0.007499999999999965, 0.0)
TIME 0.001840, pos: -4.841667e-03 -7.681741e-03, Found 4245
baricenter: (-0.004499999999999966, -0.007499999999999965, 0.0)
TIME 0.001850, pos: -4.453640e-03 -7.917591e-03, Found 4245
baricenter: (-0.004499999999999966, -0.007499999999999965, 0.0)
TIME 0.001860, pos: -4.054134e-03 -8.133846e-03, Found 4145
baricenter: (-0.004499999999999966, -0.008499999999999966, 0.0)
TIME 0.001870, pos: -3.644139e-03 -8.329948e-03, Found 4146
